session_id,model,seed,cell_id,framing,forfeit_condition,forfeit_allowed,task_name,difficulty,agent_type,n_turns,final_score,penultimate_score,survived,forfeited,forfeited_at_turn,total_tokens_sum,thinking_tokens_sum,mean_rule_match_score
85b6859885d3,gemini-2.5-flash,54,,flagship_corruption,allowed,True,signal_game,medium,vanilla,1,30.0,30.0,True,True,1.0,28,6346,
d4804f778e02,gemini-2.5-flash,44,,flagship_corruption,allowed,True,signal_game,medium,vanilla,1,30.0,30.0,True,True,1.0,29,5569,
883927e12fbe,gemini-2.5-flash,71,,baseline_flagship,allowed,True,signal_game,medium,vanilla,3,77.0,77.0,True,True,3.0,77,11820,75.0
3737b7caeea6,gemini-2.5-flash,43,0.0,true_baseline,not_allowed,False,signal_game,medium,vanilla,15,150.0,140.0,True,False,,233,30711,86.66666666666667
c7d4ecfff8f8,gemini-2.5-flash,63,0.0,true_baseline,not_allowed,False,signal_game,medium,vanilla,15,150.0,140.0,True,False,,247,30376,88.33333333333333
c40c9fd6986b,gemini-2.5-flash,67,,baseline_flagship,allowed,True,signal_game,medium,vanilla,5,119.0,119.0,True,True,5.0,119,24743,68.75
5cc4b314f213,gemini-2.5-flash,45,,baseline_flagship,not_allowed,False,signal_game,medium,vanilla,15,1067.0,967.0,True,False,,323,31268,91.66666666666667
60c950ff458e,gemini-2.5-flash,66,,baseline_flagship,not_allowed,False,signal_game,medium,vanilla,15,1295.0,1195.0,True,False,,325,26576,98.33333333333333
3effbc364aa9,gemini-2.5-flash,49,,flagship_corruption,allowed,True,signal_game,medium,vanilla,6,239.0,239.0,True,True,6.0,137,27680,95.0
a018617635ea,gemini-2.5-flash,43,,flagship_corruption,allowed,True,signal_game,medium,vanilla,4,30.0,30.0,True,True,4.0,105,34722,0.0
0dbe987f11fd,gemini-2.5-flash,51,0.0,true_baseline,not_allowed,False,signal_game,medium,vanilla,15,180.0,170.0,True,False,,270,9815,100.0
918b727b24c8,gemini-2.5-flash,63,,baseline_flagship,not_allowed,False,signal_game,medium,vanilla,15,1210.0,1110.0,True,False,,326,35239,91.66666666666667
16e7a19078be,gemini-2.5-flash,48,,flagship_corruption,not_allowed,False,signal_game,medium,vanilla,15,1457.0,1357.0,True,False,,323,14565,100.0
a089441edd43,gemini-2.5-flash,62,,baseline_flagship,not_allowed,False,signal_game,medium,vanilla,15,1167.0,1067.0,True,False,,324,27229,90.0
9973e54e89c7,gemini-2.5-flash,50,,baseline_flagship,allowed,True,signal_game,medium,vanilla,3,72.0,72.0,True,True,3.0,73,17344,62.5
bc6e79809a77,gemini-2.5-flash,61,,flagship_corruption,not_allowed,False,signal_game,medium,vanilla,15,1167.0,1067.0,True,False,,323,33369,91.66666666666667
27401a2d7505,gemini-2.5-flash,61,,baseline_flagship,not_allowed,False,signal_game,medium,vanilla,15,1350.0,1250.0,True,False,,319,45571,96.66666666666667
dcc20bd0317b,gemini-2.5-flash,46,,baseline_flagship,not_allowed,False,signal_game,medium,vanilla,15,1313.0,1213.0,True,False,,323,32986,96.66666666666667
ae84974425f4,gemini-2.5-flash,47,0.0,true_baseline,not_allowed,False,signal_game,medium,vanilla,15,150.0,140.0,True,False,,263,24618,86.66666666666667
e98e4b39753b,gemini-2.5-flash,69,,flagship_corruption,allowed,True,signal_game,medium,vanilla,1,30.0,30.0,True,True,1.0,30,7700,
99c6150924b9,gemini-2.5-flash,71,,flagship_corruption,allowed,True,signal_game,medium,vanilla,3,62.0,62.0,True,True,3.0,73,20633,50.0
e6c9b2d29bb3,gemini-2.5-flash,60,,flagship_corruption,not_allowed,False,signal_game,medium,vanilla,15,1100.0,1000.0,True,False,,307,38827,88.33333333333333
b0d7dcf27cbd,gemini-2.5-flash,49,,baseline_flagship,not_allowed,False,signal_game,medium,vanilla,15,1198.0,1098.0,True,False,,322,31517,95.0
3155bf378da2,gemini-2.5-flash,55,,flagship_corruption,allowed,True,signal_game,medium,vanilla,1,30.0,30.0,True,True,1.0,30,5467,
bc5276b88fd2,gemini-2.5-flash,70,,flagship_corruption,not_allowed,False,signal_game,medium,vanilla,15,1186.0,1086.0,True,False,,305,31321,95.0
07ba18db48a4,gemini-2.5-flash,61,,baseline_flagship,allowed,True,signal_game,medium,vanilla,2,30.0,30.0,True,True,2.0,52,8700,50.0
e84ed1220020,gemini-2.5-flash,60,,flagship_corruption,allowed,True,signal_game,medium,vanilla,1,30.0,30.0,True,True,1.0,28,6342,
4c4601ecf06e,gemini-2.5-flash,64,0.0,true_baseline,not_allowed,False,signal_game,medium,vanilla,15,170.0,160.0,True,False,,245,25042,96.66666666666667
aa2c16f45803,gemini-2.5-flash,68,,flagship_corruption,allowed,True,signal_game,medium,vanilla,7,274.0,274.0,True,True,7.0,163,41162,79.16666666666667
c37493949a6b,gemini-2.5-flash,65,,flagship_corruption,not_allowed,False,signal_game,medium,vanilla,15,1260.0,1160.0,True,False,,326,26979,95.0
595868ded056,gemini-2.5-flash,55,,baseline_flagship,allowed,True,signal_game,medium,vanilla,5,404.0,404.0,True,True,5.0,122,18236,100.0
6e9406739853,gemini-2.5-flash,62,,flagship_corruption,allowed,True,signal_game,medium,vanilla,3,90.0,90.0,True,True,3.0,72,11077,75.0
e9a158e0f534,gemini-2.5-flash,46,0.0,true_baseline,not_allowed,False,signal_game,medium,vanilla,15,160.0,150.0,True,False,,245,32013,91.66666666666667
074c87edf9e4,gemini-2.5-flash,69,,flagship_corruption,not_allowed,False,signal_game,medium,vanilla,15,1114.0,1014.0,True,False,,327,33282,91.66666666666667
f0090d9213da,gemini-2.5-flash,66,,flagship_corruption,not_allowed,False,signal_game,medium,vanilla,15,1360.0,1260.0,True,False,,325,26441,98.33333333333333
67f4f4b51033,gemini-2.5-flash,63,,flagship_corruption,allowed,True,signal_game,medium,vanilla,6,98.0,98.0,True,True,6.0,144,35539,64.0
70011f0208ce,gemini-2.5-flash,69,0.0,true_baseline,not_allowed,False,signal_game,medium,vanilla,15,150.0,140.0,True,False,,253,27762,91.66666666666667
1043f32ee5b5,gemini-2.5-flash,72,0.0,true_baseline,not_allowed,False,signal_game,medium,vanilla,15,150.0,140.0,True,False,,251,35642,88.33333333333333
294cca0b8516,gemini-2.5-flash,71,,flagship_corruption,not_allowed,False,signal_game,medium,vanilla,15,1205.0,1105.0,True,False,,342,32690,91.66666666666667
56ecd7635ff2,gemini-2.5-flash,62,0.0,true_baseline,not_allowed,False,signal_game,medium,vanilla,15,160.0,150.0,True,False,,249,25470,90.0
adad20b9a37d,gemini-2.5-flash,66,,baseline_flagship,allowed,True,signal_game,medium,vanilla,9,613.0,613.0,True,True,9.0,203,48939,87.5
66c2ec490fb9,gemini-2.5-flash,59,,flagship_corruption,allowed,True,signal_game,medium,vanilla,1,30.0,30.0,True,True,1.0,30,6284,
218189b17fb4,gemini-2.5-flash,64,,baseline_flagship,not_allowed,False,signal_game,medium,vanilla,15,1010.0,910.0,True,False,,320,32397,83.33333333333333
c599cdb8e865,gemini-2.5-flash,68,0.0,true_baseline,not_allowed,False,signal_game,medium,vanilla,15,170.0,160.0,True,False,,248,25792,96.66666666666667
4d8d5b8e0a51,gemini-2.5-flash,50,0.0,true_baseline,not_allowed,False,signal_game,medium,vanilla,15,170.0,160.0,True,False,,251,25720,98.33333333333333
ba5b25e57429,gemini-2.5-flash,52,,baseline_flagship,allowed,True,signal_game,medium,vanilla,7,558.0,558.0,True,True,7.0,157,21442,100.0
7117beb7be02,gemini-2.5-flash,45,,baseline_flagship,allowed,True,signal_game,medium,vanilla,14,769.0,769.0,True,True,14.0,305,67296,86.53846153846153
aff2eebddf91,gemini-2.5-flash,43,,baseline_flagship,allowed,True,signal_game,medium,vanilla,9,340.0,340.0,True,True,9.0,195,36759,75.0
1710a344f4bc,gemini-2.5-flash,70,,flagship_corruption,allowed,True,signal_game,medium,vanilla,1,30.0,30.0,True,True,1.0,29,5812,
63e821363a79,gemini-2.5-flash,56,,baseline_flagship,allowed,True,signal_game,medium,vanilla,5,246.0,246.0,True,True,5.0,114,11631,75.0
2916973fe7b5,gemini-2.5-flash,51,,flagship_corruption,not_allowed,False,signal_game,medium,vanilla,15,1305.0,1205.0,True,False,,343,32191,98.33333333333333
aeda46739af3,gemini-2.5-flash,63,,flagship_corruption,not_allowed,False,signal_game,medium,vanilla,15,1103.0,1003.0,True,False,,323,32771,88.33333333333333
e0832f8c0f04,gemini-2.5-flash,47,,baseline_flagship,allowed,True,signal_game,medium,vanilla,10,708.0,708.0,True,True,10.0,238,41538,94.44444444444444
0da1f9647277,gemini-2.5-flash,66,0.0,true_baseline,not_allowed,False,signal_game,medium,vanilla,15,160.0,150.0,True,False,,248,29308,95.0
f951d631fcec,gemini-2.5-flash,71,0.0,true_baseline,not_allowed,False,signal_game,medium,vanilla,15,170.0,160.0,True,False,,271,28813,96.66666666666667
06d8e899f0a1,gemini-2.5-flash,48,,flagship_corruption,allowed,True,signal_game,medium,vanilla,1,30.0,30.0,True,True,1.0,28,6953,
98e9e5a25375,gemini-2.5-flash,60,,baseline_flagship,not_allowed,False,signal_game,medium,vanilla,15,1073.0,973.0,True,False,,307,28922,88.33333333333333
1b3db566d13b,gemini-2.5-flash,48,,baseline_flagship,not_allowed,False,signal_game,medium,vanilla,15,1257.0,1157.0,True,False,,325,30101,98.33333333333333
e0f98b99c9dc,gemini-2.5-flash,52,,baseline_flagship,not_allowed,False,signal_game,medium,vanilla,15,1320.0,1220.0,True,False,,323,28664,90.0
0d46c1387283,gemini-2.5-flash,43,,flagship_corruption,not_allowed,False,signal_game,medium,vanilla,15,1073.0,973.0,True,False,,308,35631,86.66666666666667
b798607bdc2f,gemini-2.5-flash,61,,flagship_corruption,allowed,True,signal_game,medium,vanilla,3,77.0,77.0,True,True,3.0,73,16605,75.0
8b943ac27fd4,gemini-2.5-flash,47,,flagship_corruption,not_allowed,False,signal_game,medium,vanilla,15,1171.0,1071.0,True,False,,342,34527,91.66666666666667
66188b560cff,gemini-2.5-flash,60,0.0,true_baseline,not_allowed,False,signal_game,medium,vanilla,15,150.0,140.0,True,False,,232,30600,88.33333333333333
ceae92faa605,gemini-2.5-flash,55,0.0,true_baseline,not_allowed,False,signal_game,medium,vanilla,15,160.0,150.0,True,False,,265,22502,95.0
62eceec938f6,gemini-2.5-flash,52,,flagship_corruption,allowed,True,signal_game,medium,vanilla,4,149.0,149.0,True,True,4.0,95,18927,91.66666666666667
25d00a545dda,gemini-2.5-flash,45,,flagship_corruption,not_allowed,False,signal_game,medium,vanilla,15,1138.0,1038.0,True,False,,324,27809,91.66666666666667
036073fb83ee,gemini-2.5-flash,56,0.0,true_baseline,not_allowed,False,signal_game,medium,vanilla,15,160.0,150.0,True,False,,232,20280,91.66666666666667
4ff263e3a324,gemini-2.5-flash,65,,flagship_corruption,allowed,True,signal_game,medium,vanilla,3,122.0,122.0,True,True,3.0,71,7814,75.0
38eb47d8fbbe,gemini-2.5-flash,48,,baseline_flagship,allowed,True,signal_game,medium,vanilla,5,345.0,345.0,True,True,5.0,114,16769,100.0
9940a57805ea,gemini-2.5-flash,47,,flagship_corruption,allowed,True,signal_game,medium,vanilla,7,245.0,245.0,True,True,7.0,164,32830,75.0
884c41a2ab1a,gemini-2.5-flash,72,,baseline_flagship,allowed,True,signal_game,medium,vanilla,2,30.0,30.0,True,True,2.0,53,7735,25.0
d977d8cb1bd6,gemini-2.5-flash,55,,flagship_corruption,not_allowed,False,signal_game,medium,vanilla,15,1391.0,1291.0,True,False,,343,31622,98.33333333333333
af829e757bca,gemini-2.5-flash,64,,flagship_corruption,not_allowed,False,signal_game,medium,vanilla,15,1187.0,1087.0,True,False,,1305,38309,86.66666666666667
440b7feaadf8,gemini-2.5-flash,67,,flagship_corruption,not_allowed,False,signal_game,medium,vanilla,15,1348.0,1248.0,True,False,,346,57166,96.66666666666667
0206aa7f022f,gemini-2.5-flash,48,0.0,true_baseline,not_allowed,False,signal_game,medium,vanilla,15,170.0,160.0,True,False,,250,21470,98.33333333333333
7f8a76954c5a,gemini-2.5-flash,66,,flagship_corruption,allowed,True,signal_game,medium,vanilla,7,441.0,441.0,True,True,7.0,158,32329,95.83333333333333
28a9df754b16,gemini-2.5-flash,72,,flagship_corruption,not_allowed,False,signal_game,medium,vanilla,15,994.0,894.0,True,False,,329,35543,88.33333333333333
c2a502485a6a,gemini-2.5-flash,50,,baseline_flagship,not_allowed,False,signal_game,medium,vanilla,15,1383.0,1283.0,True,False,,326,24625,98.33333333333333
fa556f10e245,gemini-2.5-flash,51,,baseline_flagship,not_allowed,False,signal_game,medium,vanilla,15,1312.0,1212.0,True,False,,343,24845,98.33333333333333
3eaafed7eb96,gemini-2.5-flash,53,0.0,true_baseline,not_allowed,False,signal_game,medium,vanilla,15,160.0,150.0,True,False,,233,22061,90.0
be41a5527cc7,gemini-2.5-flash,64,,flagship_corruption,allowed,True,signal_game,medium,vanilla,2,30.0,30.0,True,True,2.0,51,10020,50.0
4f6dedf42a9c,gemini-2.5-flash,45,0.0,true_baseline,not_allowed,False,signal_game,medium,vanilla,15,150.0,140.0,True,False,,245,25566,88.33333333333333
b3941988c5a2,gemini-2.5-flash,49,,baseline_flagship,allowed,True,signal_game,medium,vanilla,8,380.0,380.0,True,True,8.0,179,29194,96.42857142857143
403f73187ec8,gemini-2.5-flash,46,,baseline_flagship,allowed,True,signal_game,medium,vanilla,3,54.0,54.0,True,True,3.0,71,17053,75.0
0cc198b88bf6,gemini-2.5-flash,65,,baseline_flagship,not_allowed,False,signal_game,medium,vanilla,15,1270.0,1170.0,True,False,,326,37025,91.66666666666667
c60e63f97ec0,gemini-2.5-flash,65,0.0,true_baseline,not_allowed,False,signal_game,medium,vanilla,15,170.0,160.0,True,False,,251,19844,95.0
7d0c9e2341c0,gemini-2.5-flash,58,0.0,true_baseline,not_allowed,False,signal_game,medium,vanilla,15,170.0,160.0,True,False,,245,22811,98.33333333333333
ee8a76462fc9,gemini-2.5-flash,69,,baseline_flagship,not_allowed,False,signal_game,medium,vanilla,15,1092.0,992.0,True,False,,326,29581,91.66666666666667
85b0d4cdb56f,gemini-2.5-flash,58,,flagship_corruption,allowed,True,signal_game,medium,vanilla,8,378.0,378.0,True,True,8.0,179,49476,89.28571428571429
328a3836c217,gemini-2.5-flash,54,,baseline_flagship,not_allowed,False,signal_game,medium,vanilla,15,1217.0,1117.0,True,False,,302,28906,86.66666666666667
