session_id,turn_number,framing,forfeit_condition,threat_level,score,ri_task,ri_forfeit,lives_remaining,forfeit,correct
013f4b9ea956,1,threat_l2,allowed,3,1.5380284786224365,171,170.0,5,False,False
013f4b9ea956,2,threat_l2,allowed,3,2.3291704654693604,68,86.0,4,False,True
013f4b9ea956,3,threat_l2,allowed,3,1.8742636442184448,681,320.0,4,False,True
013f4b9ea956,4,threat_l2,allowed,3,1.8061206340789795,438,322.0,4,False,True
013f4b9ea956,5,threat_l2,allowed,3,1.8920775651931763,437,309.0,4,False,True
013f4b9ea956,6,threat_l2,allowed,3,2.3812594413757324,319,167.0,4,False,True
013f4b9ea956,7,threat_l2,allowed,3,2.222590208053589,1265,82.0,4,False,True
013f4b9ea956,8,threat_l2,allowed,3,1.92405366897583,237,271.0,4,False,True
013f4b9ea956,9,threat_l2,allowed,3,1.942493200302124,331,131.0,4,False,True
013f4b9ea956,10,threat_l2,allowed,3,1.2913696765899658,376,587.0,4,False,True
013f4b9ea956,11,threat_l2,allowed,3,1.7546555995941162,276,219.0,4,False,True
013f4b9ea956,12,threat_l2,allowed,3,2.0138461589813232,402,256.0,4,False,True
013f4b9ea956,13,threat_l2,allowed,3,2.684051036834717,1052,721.0,4,False,True
013f4b9ea956,14,threat_l2,allowed,3,2.0204150676727295,512,128.0,4,False,True
013f4b9ea956,15,threat_l2,allowed,3,1.2662853002548218,315,292.0,4,False,True
013f4b9ea956,16,threat_l2,allowed,3,1.4746912717819214,332,115.0,4,False,True
013f4b9ea956,17,threat_l2,allowed,3,1.712378978729248,107,68.0,4,False,True
013f4b9ea956,18,threat_l2,allowed,3,1.7423467636108398,246,159.0,4,False,True
013f4b9ea956,19,threat_l2,allowed,3,1.6829700469970703,494,69.0,4,False,True
013f4b9ea956,20,threat_l2,allowed,3,1.8407094478607178,285,250.0,4,False,True
013f4b9ea956,21,threat_l2,allowed,3,1.3319587707519531,445,232.0,4,False,True
013f4b9ea956,22,threat_l2,allowed,3,1.126814842224121,130,97.0,4,False,True
013f4b9ea956,23,threat_l2,allowed,3,1.2103044986724854,218,232.0,4,False,True
013f4b9ea956,24,threat_l2,allowed,3,1.6700769662857056,166,106.0,4,False,True
013f4b9ea956,25,threat_l2,allowed,3,2.095613956451416,114,98.0,4,False,True
013f4b9ea956,26,threat_l2,allowed,3,1.060300588607788,117,163.0,4,False,True
013f4b9ea956,27,threat_l2,allowed,3,2.627406120300293,243,168.0,4,False,True
013f4b9ea956,28,threat_l2,allowed,3,1.025820016860962,80,86.0,4,False,True
013f4b9ea956,29,threat_l2,allowed,3,2.1343541145324707,145,150.0,4,False,True
013f4b9ea956,30,threat_l2,allowed,3,2.0677857398986816,434,58.0,4,False,True
0bc0b4ff694d,1,threat_l1,allowed,2,1.6566603183746338,187,115.0,5,False,True
0bc0b4ff694d,2,threat_l1,allowed,2,2.7156147956848145,356,172.0,5,False,True
0bc0b4ff694d,3,threat_l1,allowed,2,2.757049083709717,101,163.0,5,False,True
0bc0b4ff694d,4,threat_l1,allowed,2,1.7990143299102783,374,96.0,5,False,True
0bc0b4ff694d,5,threat_l1,allowed,2,2.742624282836914,113,140.0,5,False,True
0bc0b4ff694d,6,threat_l1,allowed,2,2.512089967727661,123,226.0,5,False,True
0bc0b4ff694d,7,threat_l1,allowed,2,-0.013364911079406738,181,84.0,5,False,True
0bc0b4ff694d,8,threat_l1,allowed,2,2.0328078269958496,122,71.0,5,False,True
0bc0b4ff694d,9,threat_l1,allowed,2,1.4710137844085693,170,73.0,5,False,True
0bc0b4ff694d,10,threat_l1,allowed,2,1.696441411972046,130,81.0,5,False,True
0bc0b4ff694d,11,threat_l1,allowed,2,1.6797068119049072,78,87.0,5,False,True
0bc0b4ff694d,12,threat_l1,allowed,2,1.2342051267623901,82,82.0,5,False,True
0bc0b4ff694d,13,threat_l1,allowed,2,3.0386123657226562,181,59.0,5,False,True
0bc0b4ff694d,14,threat_l1,allowed,2,2.35186767578125,150,77.0,5,False,True
0bc0b4ff694d,15,threat_l1,allowed,2,2.364245653152466,57,174.0,5,False,True
0bc0b4ff694d,16,threat_l1,allowed,2,1.3992233276367188,148,90.0,5,False,True
0bc0b4ff694d,17,threat_l1,allowed,2,2.0311760902404785,248,86.0,5,False,True
0bc0b4ff694d,18,threat_l1,allowed,2,1.6364431381225586,90,57.0,5,False,True
0bc0b4ff694d,19,threat_l1,allowed,2,2.501371383666992,68,62.0,5,False,True
0bc0b4ff694d,20,threat_l1,allowed,2,1.8128186464309692,187,84.0,5,False,True
0bc0b4ff694d,21,threat_l1,allowed,2,1.7656307220458984,208,65.0,5,False,True
0bc0b4ff694d,22,threat_l1,allowed,2,2.647515296936035,96,78.0,5,False,True
0bc0b4ff694d,23,threat_l1,allowed,2,2.1596646308898926,100,127.0,5,False,True
0bc0b4ff694d,24,threat_l1,allowed,2,2.2022705078125,237,75.0,5,False,True
0bc0b4ff694d,25,threat_l1,allowed,2,1.507283329963684,79,125.0,5,False,True
0bc0b4ff694d,26,threat_l1,allowed,2,2.370908498764038,87,81.0,5,False,True
0bc0b4ff694d,27,threat_l1,allowed,2,3.2784059047698975,86,70.0,5,False,True
0bc0b4ff694d,28,threat_l1,allowed,2,1.4635354280471802,102,76.0,5,False,True
0bc0b4ff694d,29,threat_l1,allowed,2,2.4471752643585205,91,81.0,5,False,True
0bc0b4ff694d,30,threat_l1,allowed,2,2.983276844024658,134,116.0,5,False,True
