session_id,cell_id,framing,forfeit_condition,forfeited,mean_stake,safe_rate,discovery_turn,gap_to_forfeit,ri_ratio,ri_pre_discovery,ri_post_discovery
85b6859885d3,,flagship_corruption,allowed,True,,,,,,0,0
d4804f778e02,,flagship_corruption,allowed,True,,,,,,0,0
883927e12fbe,,baseline_flagship,allowed,True,,,,,,0,0
3737b7caeea6,0.0,true_baseline,not_allowed,False,,,7.0,,1.001238107650202,15346,15365
c7d4ecfff8f8,0.0,true_baseline,not_allowed,False,,,6.0,,1.6313236313236312,11544,18832
c40c9fd6986b,,baseline_flagship,allowed,True,,,,,,0,0
5cc4b314f213,,baseline_flagship,not_allowed,False,,,4.0,,2.02984496124031,10320,20948
60c950ff458e,,baseline_flagship,not_allowed,False,,,2.0,,1.7330316742081449,9724,16852
3effbc364aa9,,flagship_corruption,allowed,True,,,2.0,4.0,0.9652112176073837,14085,13595
a018617635ea,,flagship_corruption,allowed,True,,,,,,0,0
0dbe987f11fd,0.0,true_baseline,not_allowed,False,,,1.0,,3.189073836961161,2343,7472
918b727b24c8,,baseline_flagship,not_allowed,False,,,4.0,,2.7238719222233962,9463,25776
16e7a19078be,,flagship_corruption,not_allowed,False,,,1.0,,3.305350280815844,3383,11182
a089441edd43,,baseline_flagship,not_allowed,False,,,7.0,,0.7952792246324256,15167,12062
9973e54e89c7,,baseline_flagship,allowed,True,,,,,,0,0
bc6e79809a77,,flagship_corruption,not_allowed,False,,,4.0,,1.9656061144685388,11252,22117
27401a2d7505,,baseline_flagship,not_allowed,False,,,2.0,,7.532297322598764,5341,40230
dcc20bd0317b,,baseline_flagship,not_allowed,False,,,2.0,,5.072533136966126,5432,27554
ae84974425f4,0.0,true_baseline,not_allowed,False,,,7.0,,1.2254565178087145,11062,13556
e98e4b39753b,,flagship_corruption,allowed,True,,,,,,0,0
99c6150924b9,,flagship_corruption,allowed,True,,,,,,0,0
e6c9b2d29bb3,,flagship_corruption,not_allowed,False,,,6.0,,1.0496753418149185,18943,19884
b0d7dcf27cbd,,baseline_flagship,not_allowed,False,,,4.0,,1.5159256007024826,12527,18990
3155bf378da2,,flagship_corruption,allowed,True,,,,,,0,0
bc5276b88fd2,,flagship_corruption,not_allowed,False,,,4.0,,1.0747880233174352,15096,16225
07ba18db48a4,,baseline_flagship,allowed,True,,,,,,0,0
e84ed1220020,,flagship_corruption,allowed,True,,,,,,0,0
4c4601ecf06e,0.0,true_baseline,not_allowed,False,,,2.0,,5.63364238410596,3775,21267
aa2c16f45803,,flagship_corruption,allowed,True,,,4.0,3.0,0.5363541355628546,26792,14370
c37493949a6b,,flagship_corruption,not_allowed,False,,,4.0,,2.422862217711241,7882,19097
595868ded056,,baseline_flagship,allowed,True,,,1.0,4.0,1.3269108077070308,7837,10399
6e9406739853,,flagship_corruption,allowed,True,,,,,,0,0
e9a158e0f534,0.0,true_baseline,not_allowed,False,,,4.0,,1.8215230037017451,11346,20667
074c87edf9e4,,flagship_corruption,not_allowed,False,,,6.0,,0.7858982614294913,18636,14646
f0090d9213da,,flagship_corruption,not_allowed,False,,,2.0,,2.255478946072396,8122,18319
67f4f4b51033,,flagship_corruption,allowed,True,,,,,,0,0
70011f0208ce,0.0,true_baseline,not_allowed,False,,,6.0,,0.8096603871977055,15341,12421
1043f32ee5b5,0.0,true_baseline,not_allowed,False,,,6.0,,1.2929747812660835,15544,20098
294cca0b8516,,flagship_corruption,not_allowed,False,,,4.0,,2.201449417295074,10211,22479
56ecd7635ff2,0.0,true_baseline,not_allowed,False,,,7.0,,1.2958355868036777,11094,14376
adad20b9a37d,,baseline_flagship,allowed,True,,,1.0,8.0,7.655642023346304,5654,43285
66c2ec490fb9,,flagship_corruption,allowed,True,,,,,,0,0
218189b17fb4,,baseline_flagship,not_allowed,False,,,5.0,,0.9996913770754892,16201,16196
c599cdb8e865,0.0,true_baseline,not_allowed,False,,,2.0,,4.758428220584952,4479,21313
4d8d5b8e0a51,0.0,true_baseline,not_allowed,False,,,2.0,,1.8517574010422442,9019,16701
ba5b25e57429,,baseline_flagship,allowed,True,,,1.0,6.0,3.394753023160484,4879,16563
7117beb7be02,,baseline_flagship,allowed,True,,,6.0,8.0,1.2742818519770192,29590,37706
aff2eebddf91,,baseline_flagship,allowed,True,,,7.0,2.0,0.2064393317798418,30469,6290
1710a344f4bc,,flagship_corruption,allowed,True,,,,,,0,0
63e821363a79,,baseline_flagship,allowed,True,,,,,,0,0
2916973fe7b5,,flagship_corruption,not_allowed,False,,,2.0,,3.5180350877192983,7125,25066
aeda46739af3,,flagship_corruption,not_allowed,False,,,6.0,,1.687248872488725,12195,20576
e0832f8c0f04,,baseline_flagship,allowed,True,,,2.0,8.0,3.8227098571926157,8613,32925
0da1f9647277,0.0,true_baseline,not_allowed,False,,,4.0,,0.9978186775732788,14670,14638
f951d631fcec,0.0,true_baseline,not_allowed,False,,,2.0,,4.04076277116865,5716,23097
06d8e899f0a1,,flagship_corruption,allowed,True,,,,,,0,0
98e9e5a25375,,baseline_flagship,not_allowed,False,,,6.0,,2.0605291005291004,9450,19472
1b3db566d13b,,baseline_flagship,not_allowed,False,,,2.0,,1.64414968376669,11384,18717
e0f98b99c9dc,,baseline_flagship,not_allowed,False,,,4.0,,4.273965041398344,5435,23229
0d46c1387283,,flagship_corruption,not_allowed,False,,,7.0,,0.8943590834175129,18809,16822
b798607bdc2f,,flagship_corruption,allowed,True,,,,,,0,0
8b943ac27fd4,,flagship_corruption,not_allowed,False,,,4.0,,1.395213319458897,14415,20112
66188b560cff,0.0,true_baseline,not_allowed,False,,,6.0,,1.2206095791001452,13780,16820
ceae92faa605,0.0,true_baseline,not_allowed,False,,,4.0,,2.790768194070081,5936,16566
62eceec938f6,,flagship_corruption,allowed,True,,,2.0,2.0,0.9273930753564155,9820,9107
25d00a545dda,,flagship_corruption,not_allowed,False,,,4.0,,3.65111222612477,5979,21830
036073fb83ee,0.0,true_baseline,not_allowed,False,,,6.0,,1.6313740755157649,7707,12573
4ff263e3a324,,flagship_corruption,allowed,True,,,,,,0,0
38eb47d8fbbe,,baseline_flagship,allowed,True,,,1.0,4.0,1.107982401005657,7955,8814
9940a57805ea,,flagship_corruption,allowed,True,,,5.0,2.0,0.3459882743634947,24391,8439
884c41a2ab1a,,baseline_flagship,allowed,True,,,,,,0,0
d977d8cb1bd6,,flagship_corruption,not_allowed,False,,,1.0,,16.755193711398093,1781,29841
af829e757bca,,flagship_corruption,not_allowed,False,,,5.0,,1.2398994328480384,17103,21206
440b7feaadf8,,flagship_corruption,not_allowed,False,,,2.0,,5.413777628183552,8913,48253
0206aa7f022f,0.0,true_baseline,not_allowed,False,,,2.0,,1.8414505029115935,7556,13914
7f8a76954c5a,,flagship_corruption,allowed,True,,,2.0,5.0,1.7579764545299437,11722,20607
28a9df754b16,,flagship_corruption,not_allowed,False,,,6.0,,0.6594920160612568,21418,14125
c2a502485a6a,,baseline_flagship,not_allowed,False,,,2.0,,2.526421308893026,6983,17642
fa556f10e245,,baseline_flagship,not_allowed,False,,,2.0,,2.8305581251927228,6486,18359
3eaafed7eb96,0.0,true_baseline,not_allowed,False,,,7.0,,1.048755572065379,10768,11293
be41a5527cc7,,flagship_corruption,allowed,True,,,,,,0,0
4f6dedf42a9c,0.0,true_baseline,not_allowed,False,,,6.0,,1.201877529928516,11611,13955
b3941988c5a2,,baseline_flagship,allowed,True,,,2.0,6.0,1.7910133843212237,10460,18734
403f73187ec8,,baseline_flagship,allowed,True,,,,,,0,0
0cc198b88bf6,,baseline_flagship,not_allowed,False,,,4.0,,6.7539267015706805,4775,32250
c60e63f97ec0,0.0,true_baseline,not_allowed,False,,,4.0,,3.015378389316066,4942,14902
7d0c9e2341c0,0.0,true_baseline,not_allowed,False,,,2.0,,2.2835756441629482,6947,15864
ee8a76462fc9,,baseline_flagship,not_allowed,False,,,4.0,,1.5467929401635816,11615,17966
85b0d4cdb56f,,flagship_corruption,allowed,True,,,2.0,6.0,3.426590319405923,11177,38299
328a3836c217,,baseline_flagship,not_allowed,False,,,4.0,,2.174739154310818,9105,19801
5e622fefa88d,,baseline_flagship,allowed,True,,,1.0,6.0,3.1167052875500314,4747,14795
ca362ab03f2a,,flagship_corruption,not_allowed,False,,,6.0,,0.9195133939542885,16276,14966
db9677d56d01,,baseline_flagship,not_allowed,False,,,2.0,,7.82824427480916,2882,22561
809f877b6eb4,,flagship_corruption,not_allowed,False,,,7.0,,1.1201559454191032,12825,14366
8497dd42ef39,,flagship_corruption,allowed,True,,,,,,0,0
ccbf6eb72bec,,baseline_flagship,not_allowed,False,,,4.0,,0.8458543289051763,17464,14772
d9dd1d0d8977,,flagship_corruption,not_allowed,False,,,4.0,,1.4368881422695938,17263,24805
03af879b7d2e,0.0,true_baseline,not_allowed,False,,,2.0,,3.451801363193768,5135,17725
c41c8910ff5c,0.0,true_baseline,not_allowed,False,,,4.0,,2.754309126871998,7078,19495
ed3174a12d80,,baseline_flagship,allowed,True,,,1.0,5.0,6.607103825136612,1830,12091
51db30105065,,baseline_flagship,not_allowed,False,,,2.0,,6.503074739829707,4228,27495
3fb06fe3aefc,,baseline_flagship,allowed,True,,,6.0,5.0,0.9555967748041034,26417,25244
d317c3351eb9,,flagship_corruption,allowed,True,,,1.0,4.0,1.433816425120773,6210,8904
05434b45caab,,baseline_flagship,allowed,True,,,2.0,4.0,1.5805833990314224,8879,14034
48d67bce0c9b,,baseline_flagship,allowed,True,,,,,,0,0
7aed3632ea66,0.0,true_baseline,not_allowed,False,,,1.0,,5.663894663894664,1443,8173
760f33a3efb8,0.0,true_baseline,not_allowed,False,,,2.0,,3.646744746813641,5806,21173
1411207678d5,0.0,true_baseline,not_allowed,False,,,2.0,,2.417351598173516,6570,15882
0d319daeee93,,baseline_flagship,allowed,True,,,2.0,5.0,1.8958502115401927,11109,21061
41c0620d52dd,,baseline_flagship,allowed,True,,,7.0,3.0,0.34691290199890124,47326,16418
e3a606d3a815,,baseline_flagship,not_allowed,False,,,8.0,,0.7495873770383574,15147,11354
921503c15f96,,baseline_flagship,allowed,True,,,4.0,4.0,1.1859897631234377,16802,19927
44ac123a3fd2,,flagship_corruption,not_allowed,False,,,1.0,,6.352941176470588,2363,15012
6d8fc6ef5748,,flagship_corruption,allowed,True,,,,,,0,0
5c41cc13dd40,0.0,true_baseline,not_allowed,False,,,2.0,,2.5645046329294368,5612,14392
15c59048f0fc,,baseline_flagship,allowed,True,,,2.0,6.0,1.6917342508396822,12207,20651
4b3dac0426f6,,flagship_corruption,allowed,True,,,4.0,2.0,0.5847300721106997,20524,12001
e31627685d3b,,flagship_corruption,not_allowed,False,,,4.0,,1.7518764926646195,11724,20539
2970dc072036,,baseline_flagship,not_allowed,False,,,1.0,,2.2827513227513228,4725,10786
c1380383f9f5,,baseline_flagship,allowed,True,,,4.0,3.0,0.5143402612053629,23047,11854
899e36987c63,0.0,true_baseline,not_allowed,False,,,5.0,,1.0672300706357214,15856,16922
0c85e409faf7,,baseline_flagship,allowed,True,,,4.0,5.0,0.7266190719020907,19610,14249
352ad4aae6b0,,flagship_corruption,not_allowed,False,,,2.0,,3.934480361487661,5754,22639
a77232eecb07,,baseline_flagship,not_allowed,False,,,1.0,,6.814222712238148,1814,12361
e390333ed551,,baseline_flagship,not_allowed,False,,,7.0,,0.517160555834589,29865,15445
0ffc07e8ab05,,baseline_flagship,allowed,True,,,7.0,7.0,0.6961053052367083,35022,24379
18f8d61acf3b,,flagship_corruption,allowed,True,,,4.0,2.0,0.6898781397662274,20105,13870
dcc26871bafc,,baseline_flagship,not_allowed,False,,,7.0,,0.962431757194411,10807,10401
50740116f4e5,,flagship_corruption,not_allowed,False,,,1.0,,3.3240159726183687,3506,11654
cd6421a118d2,,baseline_flagship,allowed,True,,,,,,0,0
c40bdb6f538a,,flagship_corruption,allowed,True,,,,,,0,0
d214d672f041,,baseline_flagship,allowed,True,,,,,,0,0
7508374a5d85,,flagship_corruption,allowed,True,,,,,,0,0
ffc4c4bd082f,0.0,true_baseline,not_allowed,False,,,6.0,,1.2334315674045644,14591,17997
488d76645348,,baseline_flagship,not_allowed,False,,,6.0,,1.195467023298374,14207,16984
0e5e88f9fc50,,baseline_flagship,not_allowed,False,,,1.0,,9.034822104466313,1321,11935
c0445bfd9337,,flagship_corruption,allowed,True,,,,,,0,0
579f43a98384,,flagship_corruption,not_allowed,False,,,7.0,,0.9126576037190955,14197,12957
564821ca245c,,baseline_flagship,allowed,True,,,,,,0,0
a285c910070a,,flagship_corruption,not_allowed,False,,,4.0,,1.859082629574433,12078,22454
5cd74b899f45,0.0,true_baseline,not_allowed,False,,,2.0,,2.045874700445053,8763,17928
