session_id,model,seed,cell_id,framing,forfeit_condition,forfeit_allowed,task_name,difficulty,agent_type,n_turns,final_score,penultimate_score,survived,forfeited,forfeited_at_turn,total_tokens_sum,thinking_tokens_sum,mean_rule_match_score
7adcd46a1ace,qwen3-next-80b-cloud,50,,flagship_corruption,allowed,True,signal_game,medium,vanilla,1,30.0,30.0,True,True,1.0,27,11255,
bf45d8f82b6b,qwen3-next-80b-cloud,50,0.0,true_baseline,not_allowed,False,signal_game,medium,vanilla,15,140.0,130.0,True,False,,246,61430,73.33333333333333
d68d1682b505,qwen3-next-80b-cloud,56,,true_baseline,allowed,True,signal_game,medium,vanilla,15,180.0,170.0,True,False,,348,31359,100.0
7802535f38a8,qwen3-next-80b-cloud,55,,flagship_corruption,not_allowed,False,signal_game,medium,vanilla,15,1111.0,1011.0,True,False,,338,62086,90.0
a33546752577,qwen3-next-80b-cloud,44,,true_baseline,allowed,True,signal_game,medium,vanilla,15,140.0,130.0,True,False,,361,77348,81.66666666666667
563ee2bf0ebb,qwen3-next-80b-cloud,47,,flagship_corruption,not_allowed,False,signal_game,medium,vanilla,15,1103.0,1003.0,True,False,,340,69202,86.66666666666667
d9299a2eb680,qwen3-next-80b-cloud,53,,true_baseline,allowed,True,signal_game,medium,vanilla,15,180.0,170.0,True,False,,332,28261,100.0
39e5ab3e9ade,qwen3-next-80b-cloud,50,,baseline_flagship,not_allowed,False,signal_game,medium,vanilla,15,1271.0,1171.0,True,False,,326,73574,95.0
938e2c09db71,qwen3-next-80b-cloud,45,,baseline_flagship,not_allowed,False,signal_game,medium,vanilla,15,659.0,559.0,True,False,,317,80133,76.66666666666667
9137de953ef3,qwen3-next-80b-cloud,46,,baseline_flagship,allowed,True,signal_game,medium,vanilla,5,154.0,154.0,True,True,5.0,115,37785,68.75
0c310a26255d,qwen3-next-80b-cloud,44,,flagship_corruption,allowed,True,signal_game,medium,vanilla,3,77.0,77.0,True,True,3.0,76,23527,50.0
2556f926ba6e,qwen3-next-80b-cloud,53,0.0,true_baseline,not_allowed,False,signal_game,medium,vanilla,15,180.0,170.0,True,False,,225,15123,100.0
6ee8298b2651,qwen3-next-80b-cloud,54,,baseline_flagship,not_allowed,False,signal_game,medium,vanilla,15,1212.0,1112.0,True,False,,302,54669,90.0
e6d0ef9a3a68,qwen3-next-80b-cloud,52,,flagship_corruption,allowed,True,signal_game,medium,vanilla,1,30.0,30.0,True,True,1.0,28,8787,
e6b0d5289755,qwen3-next-80b-cloud,48,,baseline_flagship,allowed,True,signal_game,medium,vanilla,3,72.0,72.0,True,True,3.0,81,30991,87.5
402decf15688,qwen3-next-80b-cloud,56,,baseline_flagship,allowed,True,signal_game,medium,vanilla,6,395.0,395.0,True,True,6.0,131,22725,100.0
0be3e4e3d500,qwen3-next-80b-cloud,53,,flagship_corruption,not_allowed,False,signal_game,medium,vanilla,15,1444.0,1344.0,True,False,,300,22547,100.0
49b9517f4bcc,qwen3-next-80b-cloud,50,,baseline_flagship,allowed,True,signal_game,medium,vanilla,5,94.0,94.0,True,True,5.0,113,45064,37.5
