session_id,cell_id,framing,forfeit_condition,turn_number,score_before_turn,forfeit,ri_task_thinking_tokens,ri_forfeit_thinking_tokens
699ca1116b21,,baseline_flagship,allowed,1,159.75,False,457,191.0
699ca1116b21,,baseline_flagship,allowed,2,225.0,False,123,130.0
699ca1116b21,,baseline_flagship,allowed,3,225.0,False,483,719.0
699ca1116b21,,baseline_flagship,allowed,4,225.0,True,1224,403.0
92d4c801d339,,baseline_flagship,allowed,1,175.5,False,435,519.0
92d4c801d339,,baseline_flagship,allowed,2,54.0,False,105,232.0
92d4c801d339,,baseline_flagship,allowed,3,72.0,False,204,221.0
92d4c801d339,,baseline_flagship,allowed,4,141.75,False,207,315.0
92d4c801d339,,baseline_flagship,allowed,5,132.75,False,41,168.0
92d4c801d339,,baseline_flagship,allowed,6,132.75,False,180,199.0
92d4c801d339,,baseline_flagship,allowed,7,171.0,False,227,126.0
92d4c801d339,,baseline_flagship,allowed,8,220.5,False,152,526.0
92d4c801d339,,baseline_flagship,allowed,9,220.5,False,239,276.0
92d4c801d339,,baseline_flagship,allowed,10,225.0,True,159,426.0
fb71a19a630f,,baseline_flagship,allowed,1,175.5,False,215,611.0
fb71a19a630f,,baseline_flagship,allowed,2,105.75,False,103,142.0
fb71a19a630f,,baseline_flagship,allowed,3,126.0,False,97,185.0
fb71a19a630f,,baseline_flagship,allowed,4,87.75,False,373,121.0
fb71a19a630f,,baseline_flagship,allowed,5,117.0,False,285,237.0
fb71a19a630f,,baseline_flagship,allowed,6,117.0,False,316,307.0
fb71a19a630f,,baseline_flagship,allowed,7,123.75,False,83,185.0
fb71a19a630f,,baseline_flagship,allowed,8,119.25,True,60,395.0
6e1ee710ba67,,flagship_corruption,not_allowed,1,105.75,False,361,25.0
6e1ee710ba67,,flagship_corruption,not_allowed,2,175.5,False,663,18.0
6e1ee710ba67,,flagship_corruption,not_allowed,3,54.0,False,309,139.0
6e1ee710ba67,,flagship_corruption,not_allowed,4,63.0,False,645,49.0
6e1ee710ba67,,flagship_corruption,not_allowed,5,54.0,False,148,221.0
6e1ee710ba67,,flagship_corruption,not_allowed,6,175.5,False,276,80.0
6e1ee710ba67,,flagship_corruption,not_allowed,7,175.5,False,177,89.0
6e1ee710ba67,,flagship_corruption,not_allowed,8,56.25,False,311,83.0
6e1ee710ba67,,flagship_corruption,not_allowed,9,144.0,False,237,38.0
6e1ee710ba67,,flagship_corruption,not_allowed,10,81.0,False,264,78.0
6e1ee710ba67,,flagship_corruption,not_allowed,11,225.0,False,697,87.0
6e1ee710ba67,,flagship_corruption,not_allowed,12,155.25,False,174,33.0
6e1ee710ba67,,flagship_corruption,not_allowed,13,146.25,False,772,99.0
6e1ee710ba67,,flagship_corruption,not_allowed,14,155.25,False,418,54.0
6e1ee710ba67,,flagship_corruption,not_allowed,15,164.25,False,216,67.0
