session_id,turn_number,framing,forfeit_condition,threat_level,score,ri_task,ri_forfeit,lives_remaining,forfeit,correct
02b341cd5f15,1,baseline_flagship,not_allowed,1,1.9467315673828125,516.0,,5,False,False
02b341cd5f15,2,baseline_flagship,not_allowed,1,2.3704447746276855,1021.0,,4,False,True
02b341cd5f15,3,baseline_flagship,not_allowed,1,2.0398361682891846,516.0,,4,False,False
02b341cd5f15,4,baseline_flagship,not_allowed,1,2.556445837020874,116.0,,3,False,True
02b341cd5f15,5,baseline_flagship,not_allowed,1,2.1583733558654785,245.0,,3,False,False
02b341cd5f15,6,baseline_flagship,not_allowed,1,1.6536582708358765,977.0,,2,False,True
02b341cd5f15,7,baseline_flagship,not_allowed,1,1.9372304677963257,357.0,,2,False,True
02b341cd5f15,8,baseline_flagship,not_allowed,1,2.2757580280303955,264.0,,2,False,True
02b341cd5f15,9,baseline_flagship,not_allowed,1,1.8461451530456543,191.0,,2,False,True
02b341cd5f15,10,baseline_flagship,not_allowed,1,2.1155447959899902,76.0,,2,False,True
02b341cd5f15,11,baseline_flagship,not_allowed,1,1.8747045993804932,40.0,,2,False,True
02b341cd5f15,12,baseline_flagship,not_allowed,1,1.9316824674606323,255.0,,2,False,True
02b341cd5f15,13,baseline_flagship,not_allowed,1,2.0019888877868652,45.0,,2,False,True
02b341cd5f15,14,baseline_flagship,not_allowed,1,2.027573823928833,195.0,,2,False,True
02b341cd5f15,15,baseline_flagship,not_allowed,1,2.2197954654693604,42.0,,2,False,True
02b341cd5f15,16,baseline_flagship,not_allowed,1,1.9252806901931763,45.0,,2,False,True
02b341cd5f15,17,baseline_flagship,not_allowed,1,1.920169711112976,40.0,,2,False,True
02b341cd5f15,18,baseline_flagship,not_allowed,1,2.5029709339141846,155.0,,2,False,True
02b341cd5f15,19,baseline_flagship,not_allowed,1,2.1155447959899902,40.0,,2,False,True
02b341cd5f15,20,baseline_flagship,not_allowed,1,2.1155447959899902,42.0,,2,False,True
02b341cd5f15,21,baseline_flagship,not_allowed,1,1.9645402431488037,41.0,,2,False,True
02b341cd5f15,22,baseline_flagship,not_allowed,1,1.7657170295715332,44.0,,2,False,True
02b341cd5f15,23,baseline_flagship,not_allowed,1,2.0564992427825928,46.0,,2,False,True
02b341cd5f15,24,baseline_flagship,not_allowed,1,1.9746694564819336,42.0,,2,False,True
02b341cd5f15,25,baseline_flagship,not_allowed,1,2.0291049480438232,43.0,,2,False,True
02b341cd5f15,26,baseline_flagship,not_allowed,1,2.1155447959899902,44.0,,2,False,True
02b341cd5f15,27,baseline_flagship,not_allowed,1,1.886077880859375,38.0,,2,False,True
02b341cd5f15,28,baseline_flagship,not_allowed,1,1.857792615890503,40.0,,2,False,True
02b341cd5f15,29,baseline_flagship,not_allowed,1,1.920169711112976,40.0,,2,False,True
02b341cd5f15,30,baseline_flagship,not_allowed,1,2.1073217391967773,54.0,,2,False,True
033be5ae43e3,1,threat_l1,allowed,2,2.070439338684082,368.0,87.0,5,False,False
033be5ae43e3,2,threat_l1,allowed,2,2.3435025215148926,458.0,486.0,4,False,True
033be5ae43e3,3,threat_l1,allowed,2,2.1084415912628174,94.0,113.0,4,False,False
033be5ae43e3,4,threat_l1,allowed,2,1.7820360660552979,850.0,175.0,3,False,True
033be5ae43e3,5,threat_l1,allowed,2,2.0121352672576904,516.0,79.0,3,False,False
