leader_model,currency,inheritance,wording,channel,n,frozen_k,frozen_rate,team_wallet_k,team_wallet_rate,multiple,both,frozen_only,team_wallet_only,neither,kappa
gemma4:cloud,tokens,main,v2.0,think,0,0,nan,0,nan,nan,0,0,0,0,nan
gemma4:cloud,tokens,main,v2.1,think,0,0,nan,0,nan,nan,0,0,0,0,nan
gemma4:cloud,tokens,main,v2.2,think,0,0,nan,0,nan,nan,0,0,0,0,nan
gemma4:cloud,tokens,mate,v2.0,think,0,0,nan,0,nan,nan,0,0,0,0,nan
gemma4:cloud,tokens,mate,v2.1,think,0,0,nan,0,nan,nan,0,0,0,0,nan
gemma4:cloud,tokens,mate,v2.2,think,0,0,nan,0,nan,nan,0,0,0,0,nan
gpt-oss:120b-cloud,tokens,main,v2.0,think,47,1,0.02127659574468085,2,0.0425531914893617,2.0,1,0,1,45,0.6569343065693422
gpt-oss:120b-cloud,tokens,main,v2.1,think,66,4,0.06060606060606061,8,0.12121212121212122,2.0,3,1,5,57,0.4560439560439555
gpt-oss:120b-cloud,tokens,main,v2.2,think,73,4,0.0547945205479452,6,0.0821917808219178,1.5,3,1,3,66,0.5718475073313782
gpt-oss:120b-cloud,tokens,mate,v2.0,think,100,7,0.07,9,0.09,1.2857142857142858,7,0,2,91,0.864314789687924
gpt-oss:120b-cloud,tokens,mate,v2.1,think,129,17,0.13178294573643412,20,0.15503875968992248,1.1764705882352942,16,1,4,108,0.842413877351576
gpt-oss:120b-cloud,tokens,mate,v2.2,think,120,5,0.041666666666666664,6,0.05,1.2,4,1,2,113,0.7142857142857141
gemma4:cloud,tokens,main,v2.0,answer,137,0,0.0,0,0.0,nan,0,0,0,137,nan
gemma4:cloud,tokens,main,v2.1,answer,134,0,0.0,0,0.0,nan,0,0,0,134,nan
gemma4:cloud,tokens,main,v2.2,answer,140,0,0.0,0,0.0,nan,0,0,0,140,nan
gemma4:cloud,tokens,mate,v2.0,answer,139,0,0.0,0,0.0,nan,0,0,0,139,nan
gemma4:cloud,tokens,mate,v2.1,answer,140,0,0.0,0,0.0,nan,0,0,0,140,nan
gemma4:cloud,tokens,mate,v2.2,answer,140,0,0.0,0,0.0,nan,0,0,0,140,nan
gpt-oss:120b-cloud,tokens,main,v2.0,answer,47,0,0.0,0,0.0,nan,0,0,0,47,nan
gpt-oss:120b-cloud,tokens,main,v2.1,answer,66,0,0.0,0,0.0,nan,0,0,0,66,nan
gpt-oss:120b-cloud,tokens,main,v2.2,answer,73,0,0.0,0,0.0,nan,0,0,0,73,nan
gpt-oss:120b-cloud,tokens,mate,v2.0,answer,100,0,0.0,0,0.0,nan,0,0,0,100,nan
gpt-oss:120b-cloud,tokens,mate,v2.1,answer,129,0,0.0,0,0.0,nan,0,0,0,129,nan
gpt-oss:120b-cloud,tokens,mate,v2.2,answer,120,0,0.0,0,0.0,nan,0,0,0,120,nan
