session_id,model,seed,cell_id,framing,forfeit_condition,forfeit_allowed,task_name,difficulty,agent_type,n_turns,final_score,penultimate_score,survived,forfeited,forfeited_at_turn,total_tokens_sum,thinking_tokens_sum,mean_rule_match_score
c71c2e83e090,nemotron-3-nano-30b-cloud,55,,flagship_corruption,allowed,True,signal_game,medium,vanilla,2,30.0,30.0,True,True,2.0,52,2706,25.0
7b5dd0599342,nemotron-3-nano-30b-cloud,56,,flagship_corruption,not_allowed,False,signal_game,medium,vanilla,15,1458.0,1358.0,True,False,,300,3127,100.0
267f17713c51,nemotron-3-nano-30b-cloud,53,,flagship_corruption,allowed,True,signal_game,medium,vanilla,1,30.0,30.0,True,True,1.0,28,996,
a0f678033456,nemotron-3-nano-30b-cloud,55,,true_baseline,allowed,True,signal_game,medium,vanilla,15,40.0,40.0,True,False,,326,10991,3.3333333333333335
1cac4501fe7c,nemotron-3-nano-30b-cloud,49,0.0,true_baseline,not_allowed,False,signal_game,medium,vanilla,15,130.0,120.0,True,False,,266,2891,50.0
943d05cc7d74,nemotron-3-nano-30b-cloud,44,,flagship_corruption,allowed,True,signal_game,medium,vanilla,6,179.0,179.0,True,True,6.0,135,3086,75.0
2e36984ea4b3,nemotron-3-nano-30b-cloud,55,,flagship_corruption,not_allowed,False,signal_game,medium,vanilla,15,105.0,105.0,True,False,,321,3300,25.0
fff51a0571b2,nemotron-3-nano-30b-cloud,48,0.0,true_baseline,not_allowed,False,signal_game,medium,vanilla,15,100.0,100.0,True,False,,259,3767,50.0
b49026c6b5e0,nemotron-3-nano-30b-cloud,46,0.0,true_baseline,not_allowed,False,signal_game,medium,vanilla,15,40.0,40.0,True,False,,240,2432,25.0
ad4ec65cad6a,nemotron-3-nano-30b-cloud,49,,baseline_flagship,allowed,True,signal_game,medium,vanilla,6,208.0,208.0,True,True,6.0,133,4608,0.0
6e0f2e1c7c3b,nemotron-3-nano-30b-cloud,52,,baseline_flagship,not_allowed,False,signal_game,medium,vanilla,15,900.0,800.0,True,False,,318,5739,25.0
9ec5cf49125f,nemotron-3-nano-30b-cloud,49,,flagship_corruption,not_allowed,False,signal_game,medium,vanilla,15,1498.0,1398.0,True,False,,326,6706,93.33333333333333
d3063046ef18,nemotron-3-nano-30b-cloud,56,,true_baseline,allowed,True,signal_game,medium,vanilla,13,80.0,80.0,True,True,13.0,280,9642,50.0
fde11996ea88,nemotron-3-nano-30b-cloud,52,,baseline_flagship,allowed,True,signal_game,medium,vanilla,10,283.0,283.0,True,True,10.0,230,6654,50.0
e4cc46838224,nemotron-3-nano-30b-cloud,49,,true_baseline,allowed,True,signal_game,medium,vanilla,15,130.0,120.0,True,False,,341,6080,50.0
26ebc3d91a46,nemotron-3-nano-30b-cloud,45,,baseline_flagship,allowed,True,signal_game,medium,vanilla,3,30.0,30.0,True,True,3.0,70,2697,25.0
bc72a62a8b56,nemotron-3-nano-30b-cloud,48,,flagship_corruption,allowed,True,signal_game,medium,vanilla,1,30.0,30.0,True,True,1.0,29,700,
53f27c10abd9,nemotron-3-nano-30b-cloud,45,,baseline_flagship,not_allowed,False,signal_game,medium,vanilla,15,599.0,599.0,True,False,,300,3405,75.0
2da094a793c0,nemotron-3-nano-30b-cloud,44,,baseline_flagship,not_allowed,False,signal_game,medium,vanilla,15,469.0,469.0,True,False,,435,3765,75.0
1ab181ea140d,nemotron-3-nano-30b-cloud,43,,flagship_corruption,allowed,True,signal_game,medium,vanilla,3,30.0,30.0,True,True,3.0,75,3092,25.0
1b7cb1f1bc14,nemotron-3-nano-30b-cloud,45,0.0,true_baseline,not_allowed,False,signal_game,medium,vanilla,15,40.0,40.0,True,False,,240,2550,25.0
327703b2ebf3,nemotron-3-nano-30b-cloud,44,,flagship_corruption,not_allowed,False,signal_game,medium,vanilla,15,30.0,30.0,True,False,,333,4460,25.0
3f54e07c7eac,nemotron-3-nano-30b-cloud,53,0.0,true_baseline,not_allowed,False,signal_game,medium,vanilla,15,120.0,110.0,True,False,,239,6491,53.333333333333336
91e00bb43d3c,nemotron-3-nano-30b-cloud,51,,true_baseline,allowed,True,signal_game,medium,vanilla,15,90.0,90.0,True,False,,321,5638,75.0
761f58ef2222,nemotron-3-nano-30b-cloud,53,,baseline_flagship,not_allowed,False,signal_game,medium,vanilla,15,441.0,341.0,True,False,,304,15690,63.333333333333336
74cfd65d94ab,nemotron-3-nano-30b-cloud,53,,flagship_corruption,not_allowed,False,signal_game,medium,vanilla,15,591.0,491.0,True,False,,314,8787,8.333333333333334
4fac3b195633,nemotron-3-nano-30b-cloud,46,,baseline_flagship,not_allowed,False,signal_game,medium,vanilla,15,108.0,108.0,True,False,,315,3878,25.0
5e624aed6011,nemotron-3-nano-30b-cloud,43,,baseline_flagship,allowed,True,signal_game,medium,vanilla,11,30.0,30.0,True,True,11.0,257,10919,25.0
acec1128133d,nemotron-3-nano-30b-cloud,52,,flagship_corruption,not_allowed,False,signal_game,medium,vanilla,15,851.0,751.0,True,False,,334,3312,50.0
f350b776eea9,nemotron-3-nano-30b-cloud,44,,baseline_flagship,allowed,True,signal_game,medium,vanilla,1,30.0,30.0,True,True,1.0,29,1589,
73d3478de2b1,nemotron-3-nano-30b-cloud,49,,flagship_corruption,allowed,True,signal_game,medium,vanilla,2,108.0,108.0,True,True,2.0,51,2145,100.0
97137122cd71,nemotron-3-nano-30b-cloud,51,,flagship_corruption,allowed,True,signal_game,medium,vanilla,3,108.0,108.0,True,True,3.0,75,1759,25.0
dd319134af2a,nemotron-3-nano-30b-cloud,56,0.0,true_baseline,not_allowed,False,signal_game,medium,vanilla,15,110.0,100.0,True,False,,237,14589,23.333333333333332
173ec316ae9c,nemotron-3-nano-30b-cloud,46,,baseline_flagship,allowed,True,signal_game,medium,vanilla,8,30.0,30.0,True,True,8.0,175,6163,25.0
