session_id,model,seed,cell_id,framing,forfeit_condition,forfeit_allowed,task_name,difficulty,agent_type,n_turns,final_score,penultimate_score,survived,forfeited,forfeited_at_turn,total_tokens_sum,thinking_tokens_sum,mean_rule_match_score
699ca1116b21,gpt-oss-20b-cloud,48,,baseline_flagship,allowed,True,signal_game,medium,vanilla,4,101.0,101.0,True,True,4.0,97,3730,50.0
92d4c801d339,gpt-oss-20b-cloud,51,,baseline_flagship,allowed,True,signal_game,medium,vanilla,10,350.0,350.0,True,True,10.0,225,4957,75.0
fb71a19a630f,gpt-oss-20b-cloud,55,,baseline_flagship,allowed,True,signal_game,medium,vanilla,8,116.0,116.0,True,True,8.0,180,3715,75.0
6e1ee710ba67,gpt-oss-20b-cloud,43,,flagship_corruption,not_allowed,False,signal_game,medium,vanilla,15,155.0,155.0,True,False,,334,6828,25.0
5214209d6e76,gpt-oss-20b-cloud,51,,flagship_corruption,not_allowed,False,signal_game,medium,vanilla,15,443.0,443.0,True,False,,332,6008,78.33333333333333
0c45d10d95c1,gpt-oss-20b-cloud,45,,true_baseline,allowed,True,signal_game,medium,vanilla,15,60.0,60.0,True,False,,319,26016,38.333333333333336
beb99a348038,gpt-oss-20b-cloud,47,,true_baseline,allowed,True,signal_game,medium,vanilla,15,180.0,170.0,True,False,,349,5354,100.0
7a2fa318f565,gpt-oss-20b-cloud,58,,baseline_flagship,allowed,True,signal_game,medium,vanilla,4,308.0,308.0,True,True,4.0,97,2829,100.0
f9350fa734de,gpt-oss-20b-cloud,52,,true_baseline,allowed,True,signal_game,medium,vanilla,15,180.0,170.0,True,False,,324,4257,100.0
0ce3ea2d6d5b,gpt-oss-20b-cloud,48,,flagship_corruption,allowed,True,signal_game,medium,vanilla,4,308.0,308.0,True,True,4.0,95,3308,100.0
e9d6d4aeaac4,gpt-oss-20b-cloud,57,,baseline_flagship,allowed,True,signal_game,medium,vanilla,2,30.0,30.0,True,True,2.0,54,1483,25.0
