leader_model,currency,inheritance,wording,cot_kind,n_decisions,aware_k,aware_n,aware_rate,unaware_k,unaware_n,unaware_rate,diff,diff_lo,diff_hi,channel
gemma4:cloud,tokens,main,v2.0,thinking,137,0,0,nan,127,137,0.927007299270073,nan,nan,nan,think
gemma4:cloud,tokens,main,v2.1,thinking,134,0,0,nan,120,134,0.8955223880597015,nan,nan,nan,think
gemma4:cloud,tokens,main,v2.2,thinking,140,0,0,nan,133,140,0.95,nan,nan,nan,think
gemma4:cloud,tokens,mate,v2.0,thinking,139,0,0,nan,131,139,0.9424460431654677,nan,nan,nan,think
gemma4:cloud,tokens,mate,v2.1,thinking,140,0,0,nan,131,140,0.9357142857142857,nan,nan,nan,think
gemma4:cloud,tokens,mate,v2.2,thinking,140,0,0,nan,140,140,1.0,nan,nan,nan,think
gpt-oss:120b-cloud,tokens,main,v2.0,thinking,47,2,2,1.0,26,45,0.5777777777777777,0.4222222222222223,-0.2486200458851754,0.5669921140064998,think
gpt-oss:120b-cloud,tokens,main,v2.1,thinking,66,6,8,0.75,41,58,0.7068965517241379,0.0431034482758621,-0.3123670918573456,0.2622042585160101,think
gpt-oss:120b-cloud,tokens,main,v2.2,thinking,73,2,6,0.3333333333333333,50,67,0.746268656716418,-0.41293532338308464,-0.6656332812760575,-0.028482983972004994,think
gpt-oss:120b-cloud,tokens,mate,v2.0,thinking,100,5,9,0.5555555555555556,74,91,0.8131868131868132,-0.2576312576312576,-0.5541521829375451,0.01413334861999721,think
gpt-oss:120b-cloud,tokens,mate,v2.1,thinking,129,19,20,0.95,105,109,0.963302752293578,-0.013302752293578024,-0.20076927877450884,0.05447471195424722,think
gpt-oss:120b-cloud,tokens,mate,v2.2,thinking,120,5,6,0.8333333333333334,108,114,0.9473684210526315,-0.11403508771929816,-0.5118783077549454,0.03416897951071571,think
gemma4:cloud,tokens,main,v2.0,thinking,137,0,0,nan,127,137,0.927007299270073,nan,nan,nan,answer
gemma4:cloud,tokens,main,v2.1,thinking,134,0,0,nan,120,134,0.8955223880597015,nan,nan,nan,answer
gemma4:cloud,tokens,main,v2.2,thinking,140,0,0,nan,133,140,0.95,nan,nan,nan,answer
gemma4:cloud,tokens,mate,v2.0,thinking,139,0,0,nan,131,139,0.9424460431654677,nan,nan,nan,answer
gemma4:cloud,tokens,mate,v2.1,thinking,140,0,0,nan,131,140,0.9357142857142857,nan,nan,nan,answer
gemma4:cloud,tokens,mate,v2.2,thinking,140,0,0,nan,140,140,1.0,nan,nan,nan,answer
gpt-oss:120b-cloud,tokens,main,v2.0,thinking,47,0,0,nan,28,47,0.5957446808510638,nan,nan,nan,answer
gpt-oss:120b-cloud,tokens,main,v2.1,thinking,66,0,0,nan,47,66,0.7121212121212122,nan,nan,nan,answer
gpt-oss:120b-cloud,tokens,main,v2.2,thinking,73,0,0,nan,52,73,0.7123287671232876,nan,nan,nan,answer
gpt-oss:120b-cloud,tokens,mate,v2.0,thinking,100,0,0,nan,79,100,0.79,nan,nan,nan,answer
gpt-oss:120b-cloud,tokens,mate,v2.1,thinking,129,0,0,nan,124,129,0.9612403100775194,nan,nan,nan,answer
gpt-oss:120b-cloud,tokens,mate,v2.2,thinking,120,0,0,nan,113,120,0.9416666666666667,nan,nan,nan,answer
