session_id,cell_id,framing,forfeit_condition,forfeited,mean_stake,safe_rate,discovery_turn,gap_to_forfeit,ri_ratio,ri_pre_discovery,ri_post_discovery
7adcd46a1ace,,flagship_corruption,allowed,True,,,,,,0,0
bf45d8f82b6b,0.0,true_baseline,not_allowed,False,,,7.0,,0.3804494382022472,44500,16930
d68d1682b505,,true_baseline,allowed,False,,,1.0,,3.8807782101167314,6425,24934
7802535f38a8,,flagship_corruption,not_allowed,False,,,5.0,,1.2100167301462998,28093,33993
a33546752577,,true_baseline,allowed,False,,,7.0,,0.5950672275839314,48492,28856
563ee2bf0ebb,,flagship_corruption,not_allowed,False,,,5.0,,1.186753460152942,31646,37556
d9299a2eb680,,true_baseline,allowed,False,,,1.0,,3.713308872581721,5996,22265
39e5ab3e9ade,,baseline_flagship,not_allowed,False,,,2.0,,3.3820131030375222,16790,56784
938e2c09db71,,baseline_flagship,not_allowed,False,,,8.0,,0.6035579924757865,49972,30161
9137de953ef3,,baseline_flagship,allowed,True,,,,,,0,0
0c310a26255d,,flagship_corruption,allowed,True,,,,,,0,0
2556f926ba6e,0.0,true_baseline,not_allowed,False,,,1.0,,2.343577271722308,4523,10600
6ee8298b2651,,baseline_flagship,not_allowed,False,,,4.0,,1.0159672542222877,27118,27551
e6d0ef9a3a68,,flagship_corruption,allowed,True,,,,,,0,0
e6b0d5289755,,baseline_flagship,allowed,True,,,,,,0,0
402decf15688,,baseline_flagship,allowed,True,,,1.0,5.0,1.600411946446962,8739,13986
0be3e4e3d500,,flagship_corruption,not_allowed,False,,,1.0,,4.565786225623303,4051,18496
49b9517f4bcc,,baseline_flagship,allowed,True,,,,,,0,0
54194069d7a5,,baseline_flagship,not_allowed,False,,,5.0,,1.7952948789055279,21636,38843
0cb89f28ef2e,,baseline_flagship,allowed,True,,,1.0,4.0,1.4298511395073112,7591,10854
65eb67b1f5fe,,baseline_flagship,allowed,True,,,,,,0,0
824d19c9cbd4,,true_baseline,allowed,False,,,7.0,,0.5433450236644081,58738,31915
bfed762ac26f,,baseline_flagship,allowed,True,,,,,,0,0
b8206e3ee043,,baseline_flagship,allowed,True,,,1.0,2.0,1.9234913793103448,7424,14280
bb928c86f915,,baseline_flagship,allowed,True,,,,,,0,0
cfdfe92011fb,,baseline_flagship,not_allowed,False,,,9.0,,0.40372814391392065,47584,19211
2136cc604c6a,,baseline_flagship,not_allowed,False,,,1.0,,3.891840244601567,5233,20366
efac0986ba43,,true_baseline,allowed,False,,,6.0,,0.7116547232791018,42841,30488
b392d11ce674,,flagship_corruption,not_allowed,False,,,2.0,,6.088763649172244,11356,69144
be765748e9aa,,flagship_corruption,not_allowed,False,,,6.0,,0.9686725459680673,34698,33611
25d693744055,,flagship_corruption,allowed,True,,,,,,0,0
ddc156fed359,,baseline_flagship,allowed,True,,,,,,0,0
3fd023604d1a,,flagship_corruption,not_allowed,False,,,11.0,,0.29967689822294025,65614,19663
d6ca46182f55,0.0,true_baseline,not_allowed,False,,,6.0,,0.5103899483290584,26901,13730
92994458ede1,,true_baseline,allowed,True,,,1.0,7.0,2.8624766645924082,6428,18400
8e06ce6b6040,,true_baseline,allowed,True,,,6.0,5.0,0.5279714236331163,34714,18328
2c79287ceec2,,flagship_corruption,allowed,True,,,,,,0,0
2abb3b2057a6,0.0,true_baseline,not_allowed,False,,,8.0,,0.29651271212780506,48261,14310
cb496d17b838,,flagship_corruption,allowed,True,,,3.0,2.0,0.33190556145701267,29183,9686
3dec53e334ed,,flagship_corruption,allowed,True,,,,,,0,0
b7988a70a09a,0.0,true_baseline,not_allowed,False,,,1.0,,3.899722222222222,3600,14039
be67e37aed92,,true_baseline,allowed,False,,,1.0,,4.789660056657223,7060,33815
1c0dd6657343,,flagship_corruption,not_allowed,False,,,3.0,,2.1930600066305668,18098,39690
aa8b979deb7f,,baseline_flagship,not_allowed,False,,,5.0,,1.6702402479979332,23226,38793
5828edd2746e,,baseline_flagship,not_allowed,False,,,6.0,,0.7931191615402142,39501,31329
1dc5747d82d0,0.0,true_baseline,not_allowed,False,,,7.0,,0.6161903570758551,31982,19707
77bbc441c07f,,flagship_corruption,not_allowed,False,,,3.0,,3.1557172084564673,13197,41646
c5eabcce3551,0.0,true_baseline,not_allowed,False,,,2.0,,2.8180362860192103,11244,31686
e811bc41b9c5,0.0,true_baseline,not_allowed,False,,,1.0,,4.297055057618438,3905,16780
cd56c00c1d15,,baseline_flagship,not_allowed,False,,,4.0,,2.0352954768644214,17311,35233
c13c41fb99a5,0.0,true_baseline,not_allowed,False,,,6.0,,0.40175434815405503,46399,18641
80a4d2aa1a92,,flagship_corruption,allowed,True,,,,,,0,0
dcee8f63ac56,,flagship_corruption,allowed,True,,,,,,0,0
f463d8a74bd1,0.0,true_baseline,not_allowed,False,,,7.0,,0.56289930711779,44452,25022
3e6694d38818,,true_baseline,allowed,False,,,7.0,,0.5663631040122771,49523,28048
d273a7523563,,flagship_corruption,allowed,True,,,,,,0,0
c5a1a6cf32c1,,flagship_corruption,allowed,True,,,,,,0,0
565e46c4a904,,flagship_corruption,not_allowed,False,,,8.0,,0.3685794989965064,53812,19834
f9d805e8a24f,,baseline_flagship,allowed,True,,,1.0,3.0,2.665398683247988,6835,18218
13a8f2646460,0.0,true_baseline,not_allowed,False,,,6.0,,0.5595819935691319,31100,17403
28f78eb750d2,,baseline_flagship,not_allowed,False,,,1.0,,2.8043099350340674,6311,17698
108513749c1e,,flagship_corruption,allowed,True,,,,,,0,0
69b1fd39723d,,flagship_corruption,not_allowed,False,,,1.0,,6.054009433962264,4240,25669
0d3160431a02,,true_baseline,allowed,False,,,4.0,,1.7780962128966222,24425,43430
0b850c1abd66,,flagship_corruption,allowed,True,,,,,,0,0
27fbb25c29d3,,flagship_corruption,allowed,True,,,,,,0,0
6db826afc1ea,,true_baseline,allowed,False,,,9.0,,0.25614836541082114,77053,19737
0642fc8cce43,,true_baseline,allowed,False,,,8.0,,0.30101240553258235,84156,25332
fd393c7a4de3,,flagship_corruption,allowed,True,,,,,,0,0
873f58e6e52a,,flagship_corruption,not_allowed,False,,,1.0,,3.892814877430262,5915,23026
30a9c2b4ee1b,0.0,true_baseline,not_allowed,False,,,7.0,,0.4107029399872928,34626,14221
e34ed3731409,,flagship_corruption,not_allowed,False,,,1.0,,4.124459149910919,3929,16205
8268cb502b1e,,true_baseline,allowed,False,,,2.0,,2.480298424979276,18095,44881
e6ef69aac725,0.0,true_baseline,not_allowed,False,,,1.0,,1.761250953470633,5244,9236
af7cf69914e5,0.0,true_baseline,not_allowed,False,,,1.0,,4.499560761346999,3415,15366
564c5f42350d,,baseline_flagship,allowed,True,,,,,,0,0
1dfdeb820ac2,,true_baseline,allowed,False,,,4.0,,1.2112855828311913,33689,40807
996baa4ffa06,0.0,true_baseline,not_allowed,False,,,6.0,,0.5275405110900208,28449,15008
e4ab12995583,,baseline_flagship,allowed,True,,,,,,0,0
1416975a36c0,,baseline_flagship,not_allowed,False,,,4.0,,1.813653762294685,20639,37432
250687016576,,baseline_flagship,allowed,True,,,,,,0,0
ec65bbbc14a8,,baseline_flagship,not_allowed,False,,,1.0,,3.743208610968734,3902,14606
dc914e9b37b7,,baseline_flagship,not_allowed,False,,,1.0,,5.695596133190119,4655,26513
84354c8d3334,,flagship_corruption,not_allowed,False,,,1.0,,3.4539072602992795,5413,18696
f45eceb9a522,,baseline_flagship,allowed,True,,,,,,0,0
64fee08a8d06,,baseline_flagship,not_allowed,False,,,3.0,,2.947996152613017,15595,45974
3c75bf721422,,true_baseline,allowed,False,,,2.0,,3.272057016465962,16276,53256
1991764f606f,,flagship_corruption,not_allowed,False,,,7.0,,0.7210526315789474,30970,22331
3d945f427695,,baseline_flagship,not_allowed,False,,,6.0,,0.7586150131694469,36448,27650
e2e6731eab72,,flagship_corruption,not_allowed,False,,,7.0,,0.370821267458582,50763,18824
0b4bc8574a13,,flagship_corruption,allowed,True,,,,,,0,0
b70fef10498c,0.0,true_baseline,not_allowed,False,,,4.0,,1.1573653306101608,19585,22667
cb61474fad13,,flagship_corruption,allowed,True,,,,,,0,0
d4a6e00f58d2,,flagship_corruption,not_allowed,False,,,9.0,,0.3150427321725406,59557,18763
898c711f03f3,,baseline_flagship,allowed,True,,,1.0,2.0,1.3477160571934708,7903,10651
c195766b993d,,baseline_flagship,allowed,True,,,,,,0,0
2ed0af0e45a5,0.0,true_baseline,not_allowed,False,,,1.0,,3.459292254392477,4041,13979
48e725a4261d,,true_baseline,allowed,False,,,3.0,,2.2858995320516433,17737,40545
2bce90cb5613,0.0,true_baseline,not_allowed,False,,,3.0,,1.1360069369174073,23065,26202
171dfefcc5ad,,baseline_flagship,not_allowed,False,,,1.0,,3.7093212669683258,5525,20494
2067459d29b7,,baseline_flagship,not_allowed,False,,,6.0,,0.5732653513633341,36088,20688
88c0c945f262,,flagship_corruption,not_allowed,False,,,1.0,,5.7212623819396455,4341,24836
49b0cbd3e29a,0.0,true_baseline,not_allowed,False,,,2.0,,1.7699030668997298,12586,22276
a6b52a061f2b,,baseline_flagship,allowed,True,,,,,,0,0
cbf61d88522f,0.0,true_baseline,not_allowed,False,,,5.0,,0.7812604201400467,26991,21087
5241d450a964,,flagship_corruption,not_allowed,False,,,4.0,,1.2175993619566663,22569,27480
2980a944d4a1,0.0,true_baseline,not_allowed,False,,,4.0,,1.002270044492872,22026,22076
b2c8aac845b3,,baseline_flagship,not_allowed,False,,,5.0,,1.1323611338685893,30515,34554
5e43a30c4a30,,flagship_corruption,not_allowed,False,,,3.0,,1.5567946314023489,20266,31550
5cc90f5d36df,,baseline_flagship,not_allowed,False,,,8.0,,0.6138211382113821,57810,35485
04157997b168,,flagship_corruption,not_allowed,False,,,8.0,,0.4457910828585883,45463,20267
83457c81f673,,true_baseline,allowed,False,,,5.0,,1.0335032774945374,34325,35475
739cf3e8e774,,baseline_flagship,allowed,True,,,,,,0,0
1cfc822a0c8c,0.0,true_baseline,not_allowed,False,,,6.0,,0.6296472482435597,27328,17207
fd43bab464ac,,flagship_corruption,allowed,True,,,,,,0,0
8e9cf62ce76a,,baseline_flagship,allowed,True,,,,,,0,0
8e6b501d3c8f,,flagship_corruption,allowed,True,,,,,,0,0
7dc8cc2965ba,0.0,true_baseline,not_allowed,False,,,2.0,,1.911723288153494,11362,21721
f0240f8edf5d,0.0,true_baseline,not_allowed,False,,,5.0,,0.6761719491364585,21076,14251
962deb7ce23c,,flagship_corruption,allowed,True,,,,,,0,0
0ef1a03de54f,,flagship_corruption,allowed,True,,,,,,0,0
6e18437b12a8,,baseline_flagship,allowed,True,,,4.0,3.0,0.5975599495161968,23770,14204
7aa8db4439f0,,baseline_flagship,allowed,True,,,,,,0,0
c451c1f0c24b,,flagship_corruption,not_allowed,False,,,6.0,,0.8873268483827725,29093,25815
83cdae09fb8e,,baseline_flagship,not_allowed,False,,,8.0,,0.411161482702611,41249,16960
a592c447c4f7,,true_baseline,allowed,False,,,4.0,,1.5019191691126665,26574,39912
9aea62d22886,,flagship_corruption,allowed,True,,,,,,0,0
87a28f7aed08,,flagship_corruption,allowed,True,,,,,,0,0
0733c7744bdc,,flagship_corruption,allowed,True,,,,,,0,0
3a97676af8bb,,true_baseline,allowed,False,,,2.0,,3.2790224032586557,13257,43470
ef79297733a8,,flagship_corruption,not_allowed,False,,,7.0,,0.5115307352350341,37335,19098
abb997b9cc0a,0.0,true_baseline,not_allowed,False,,,6.0,,0.5296436263155756,24609,13034
1aff8b8f9e7e,,flagship_corruption,not_allowed,False,,,2.0,,4.75203012828057,8497,40378
257520dc8ef8,,baseline_flagship,allowed,True,,,,,,0,0
8b68d9924c95,0.0,true_baseline,not_allowed,False,,,8.0,,0.491865283533109,35957,17686
078888b97923,,baseline_flagship,allowed,True,,,1.0,4.0,2.2698412698412698,6552,14872
5b2d2a5cd20b,,flagship_corruption,allowed,True,,,,,,0,0
d949650037f2,0.0,true_baseline,not_allowed,False,,,4.0,,1.604341552990556,15248,24463
