leader_model,currency,inheritance,wording,channel,tier,rows,k,n,rate,lo,hi
glm-5.3-flash,tokens,main,v2.2,think,any,83,27,83,0.3253012048192771,0.23419333644944482,0.4318647840199472
glm-5.3-flash,tokens,main,v2.2,think,construct,83,0,83,0.0,0.0,0.04423531030894942
glm-5.3-flash,tokens,main,v2.2,think,eval,83,22,83,0.26506024096385544,0.18204413964500987,0.36886160857244843
glm-5.3-flash,tokens,main,v2.2,think,frame,83,7,83,0.08433734939759036,0.04145333609473961,0.16399529536691712
glm-5.3-flash,tokens,main,v2.2,think,aux_only,83,8,83,0.0963855421686747,0.049652740103997964,0.17882636580804556
glm-5.3-flash,tokens,main,v2.2,think,task_level,83,1,83,0.012048192771084338,0.002129977404567142,0.06513580735476904
glm-5.3-flash,tokens,main,v2.2,think,frozen_v8,83,30,83,0.3614457831325301,0.26634634289754777,0.46880320092300454
glm-5.3-flash,tokens,mate,v2.2,think,any,70,13,70,0.18571428571428572,0.11187299956696559,0.29225578300852095
glm-5.3-flash,tokens,mate,v2.2,think,construct,70,0,70,0.0,0.0,0.05202306318827402
glm-5.3-flash,tokens,mate,v2.2,think,eval,70,8,70,0.11428571428571428,0.05906128916348981,0.20964221672460726
glm-5.3-flash,tokens,mate,v2.2,think,frame,70,7,70,0.1,0.04928930117367729,0.19232914937694195
glm-5.3-flash,tokens,mate,v2.2,think,aux_only,70,2,70,0.02857142857142857,0.007870611874590441,0.09832256198863935
glm-5.3-flash,tokens,mate,v2.2,think,task_level,70,0,70,0.0,0.0,0.05202306318827402
glm-5.3-flash,tokens,mate,v2.2,think,frozen_v8,70,21,70,0.3,0.2053660519388467,0.41544317333646286
glm-5.3-flash,tokens,main,v2.2,answer,any,83,0,83,0.0,0.0,0.04423531030894942
glm-5.3-flash,tokens,main,v2.2,answer,construct,83,0,83,0.0,0.0,0.04423531030894942
glm-5.3-flash,tokens,main,v2.2,answer,eval,83,0,83,0.0,0.0,0.04423531030894942
glm-5.3-flash,tokens,main,v2.2,answer,frame,83,0,83,0.0,0.0,0.04423531030894942
glm-5.3-flash,tokens,main,v2.2,answer,aux_only,83,0,83,0.0,0.0,0.04423531030894942
glm-5.3-flash,tokens,main,v2.2,answer,task_level,83,0,83,0.0,0.0,0.04423531030894942
glm-5.3-flash,tokens,main,v2.2,answer,frozen_v8,83,0,83,0.0,0.0,0.04423531030894942
glm-5.3-flash,tokens,mate,v2.2,answer,any,70,0,70,0.0,0.0,0.05202306318827402
glm-5.3-flash,tokens,mate,v2.2,answer,construct,70,0,70,0.0,0.0,0.05202306318827402
glm-5.3-flash,tokens,mate,v2.2,answer,eval,70,0,70,0.0,0.0,0.05202306318827402
glm-5.3-flash,tokens,mate,v2.2,answer,frame,70,0,70,0.0,0.0,0.05202306318827402
glm-5.3-flash,tokens,mate,v2.2,answer,aux_only,70,0,70,0.0,0.0,0.05202306318827402
glm-5.3-flash,tokens,mate,v2.2,answer,task_level,70,0,70,0.0,0.0,0.05202306318827402
glm-5.3-flash,tokens,mate,v2.2,answer,frozen_v8,70,0,70,0.0,0.0,0.05202306318827402
