session_id,cell_id,framing,forfeit_condition,forfeited,mean_stake,safe_rate,discovery_turn,gap_to_forfeit,ri_ratio,ri_pre_discovery,ri_post_discovery
699ca1116b21,,baseline_flagship,allowed,True,,,,,,0,0
92d4c801d339,,baseline_flagship,allowed,True,,,,,,0,0
fb71a19a630f,,baseline_flagship,allowed,True,,,,,,0,0
6e1ee710ba67,,flagship_corruption,not_allowed,False,,,,,,0,0
5214209d6e76,,flagship_corruption,not_allowed,False,,,,,,0,0
0c45d10d95c1,,true_baseline,allowed,False,,,,,,0,0
beb99a348038,,true_baseline,allowed,False,,,1.0,,8.02866779089376,593,4761
7a2fa318f565,,baseline_flagship,allowed,True,,,1.0,3.0,1.6815165876777252,1055,1774
f9350fa734de,,true_baseline,allowed,False,,,1.0,,7.531062124248497,499,3758
0ce3ea2d6d5b,,flagship_corruption,allowed,True,,,1.0,3.0,5.148698884758364,538,2770
e9d6d4aeaac4,,baseline_flagship,allowed,True,,,,,,0,0
326507d0bda5,,true_baseline,allowed,False,,,,,,0,0
de301e04a986,,true_baseline,allowed,False,,,1.0,,6.3625,720,4581
f109757a581a,,true_baseline,allowed,False,,,1.0,,9.233050847457626,472,4358
7fa2a72d0a29,,baseline_flagship,not_allowed,False,,,6.0,,7.387418871692462,2003,14797
75bf48423c80,,baseline_flagship,allowed,True,,,1.0,6.0,6.31990231990232,819,5176
ad5d6bd67c2a,,flagship_corruption,not_allowed,False,,,,,,0,0
7e1df5efd8c5,,flagship_corruption,not_allowed,False,,,,,,0,0
56560fcfd075,,flagship_corruption,allowed,True,,,1.0,5.0,3.581892166836216,983,3521
6f43cb5f91f8,,true_baseline,allowed,False,,,3.0,,1.903771131339402,3845,7320
bc5067bc7c61,,baseline_flagship,allowed,True,,,1.0,6.0,3.2816764132553606,1026,3367
d327c2846cb0,0.0,true_baseline,not_allowed,False,,,4.0,,3.2946070878274267,3245,10691
a9e3e0077d10,,baseline_flagship,allowed,True,,,1.0,5.0,2.836236933797909,861,2442
bb1cd534b420,,flagship_corruption,allowed,True,,,1.0,3.0,3.6085672082717872,677,2443
40e7a1b730bd,,flagship_corruption,not_allowed,False,,,1.0,,6.819301848049282,487,3321
acf28d634558,,flagship_corruption,allowed,True,,,1.0,4.0,5.561122244488978,499,2775
5b8413089a4b,,true_baseline,allowed,False,,,1.0,,7.758680555555555,576,4469
2621ecd891e9,,baseline_flagship,not_allowed,False,,,12.0,,0.20567986230636834,19754,4063
f5358e384bd2,,flagship_corruption,allowed,True,,,,,,0,0
bcdbd46ba454,,baseline_flagship,not_allowed,False,,,1.0,,20.733870967741936,248,5142
002d2f037edc,,flagship_corruption,allowed,True,,,,,,0,0
e605e147a66d,0.0,true_baseline,not_allowed,False,,,1.0,,5.323210412147505,461,2454
104f8d638ee5,,flagship_corruption,allowed,True,,,,,,0,0
f38058325cd4,,baseline_flagship,not_allowed,False,,,,,,0,0
77f54398c6e1,,baseline_flagship,not_allowed,False,,,13.0,,0.17127095268406536,23565,4036
767faadc2e05,,flagship_corruption,not_allowed,False,,,1.0,,9.309037900874635,343,3193
f77f1752e17c,,baseline_flagship,not_allowed,False,,,,,,0,0
8314b295392b,,flagship_corruption,allowed,False,,,,,,0,0
7127ea47ffd2,,flagship_corruption,allowed,True,,,,,,0,0
baaa06847bfe,,true_baseline,allowed,True,,,,,,0,0
08bc51831c4a,0.0,true_baseline,not_allowed,False,,,,,,0,0
b7d737327b58,,baseline_flagship,not_allowed,False,,,1.0,,2.4723220704529116,1391,3439
5204f5a6ab06,,baseline_flagship,not_allowed,False,,,,,,0,0
d709ef3f3957,,flagship_corruption,not_allowed,False,,,1.0,,8.441682600382409,523,4415
0adbcb248627,,flagship_corruption,not_allowed,False,,,,,,0,0
494d7ca27b31,,flagship_corruption,not_allowed,False,,,5.0,,16.192725555030705,2117,34280
ffc794ee4249,0.0,true_baseline,not_allowed,False,,,3.0,,12.302021403091558,841,10346
70371794e8b8,0.0,true_baseline,not_allowed,False,,,1.0,,5.428104575163399,612,3322
55916305eeff,,baseline_flagship,not_allowed,False,,,,,,0,0
5a27ca4374ea,,baseline_flagship,allowed,True,,,,,,0,0
87164b0db2d7,0.0,true_baseline,not_allowed,False,,,10.0,,1.2463023314113812,7978,9943
